Title,Price,Rating,Brand
"HP (Upgraded Version) Newest Laptop With 15.6-Inch Display, Core i5-1135G7 Processor/12GB RAM/256GB SSD/Intel Iris XE Graphics/Windows 10 English Silver","EGP
61,750",3.6,
"HP (Upgraded Version) 15s-FQ5066TU Laptop With 15.6-Inch Display, Core i5-1235u Processor/16GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 With Laptop Bag + Mouse / English/Arabic Silver","EGP
73,500",5.0,
DELL Gdl5391017T Laptop With 15.6 Inch FHD /Core I5-11260H/ 16 GB Ram/ 512 GB SSD/ 4 GB Geforce Rtx 3050 Ti/ Windows 11 /English Dark Shadow Grey With Casual Leather Laptop Backpack Black English Dark Shadow Grey,"EGP
58,470",,
"HP (Upgraded Version) 14s-dq2223ne 6Z914EA Laptop With 14-Inch Display, Core i3-1125G4 Processor/8GB RAM/256GB SSD/Intel UHD Graphics/Windows 11 Home-Middle East Version / Natural English/Arabic Natural Silver","EGP
55,000",3.5,
DELL Vostro 3520-4 Laptop With 15.6 Inch FHD /Core I5-1235U /8 GB Ram /512 GB SSD/ 2 GB Geforce Mx550 /Free Dos /English/Arabic Black With Casual Leather Laptop Backpack Black English/Arabic Black,"EGP
43,370",,
"HP (Upgraded Version) 250 G10 Laptop With 15.6-inch Full HD Display, Core i3-1315U Processor/4GB RAM/256GB SSD/DOS(Without Windows)/Intel UHD Graphics / Natural (Bag + Mouse) English/Arabic Natural Silver (Bag + Mouse)","EGP
55,000",3.8,
"HP (Upgraded Version) 15s Laptop With 15.6-Inch Display, Core i5 Processor, 8GB RAM/1TB SSD/Intel Xe Graphics / English/Arabic Silver","EGP
81,000",,
"HP (Upgraded Version) 14-dq2031tg Laptop With 14-Inch Display, Core i3-1125G4 Processor/4GB RAM/128GB SSD/Intel UHD Graphics/Windows 11 Home English Silver","EGP
47,500",3.9,
DELL Vostro 3520-6 Laptop With 15.6 Inch FHD /Core I5-1235U /8 GB Ram /512 GB SSD /2 GB Geforce Mx550 /Windows 11 English Black With HP Laptop Bags 1418 Backpack Black English Black,"EGP
43,990",,
"Lenovo IDEAPAD 5 2 IN 1 -83DT008YED-Intel Core 7 150U -16GB Soldered LPDDR5x 5200-512GB SSD M.2-Integrated Intel Graphics- Windows 11 Home-14"" WUXGA English/Arabic Luna Grey","EGP
47,999",5.0,
MSI LAPTOP MSI Katana 15 HX B14WEK Black Intel Core i7-14650HX RAM 16G DDR5 8GB*2 SSD 512 GB NVMe VGA NVIDIA GeForce RTX 5050 GDDR7 8GB 15.6 QHD ( 2560*1440 ) 165Hz Windows 11 Home A ( 9S7-1587C1-832 ) english_arabic,"EGP
61,488",,
