asin,name,price_usd,price_egp,image_path,url
B0BT4P45XV,"HP ProBook 450 G10 Business Laptop (15.6"" FHD Anti-Glare, Intel 10-Core i5-1334U, 16GB RAM, 512GB SSD, (Beats i7-1255U)) Backlit KB, Webcam, Ethernet, Wi-Fi 6E, Win 11 Pro w/ AI Copilot, Silver",N/A,N/A,global_to_egp_images/B0BT4P45XV.jpg,https://www.amazon.com/dp/B0BT4P45XV
B0B2D77YB8,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",14721.0,773735.76,global_to_egp_images/B0B2D77YB8.jpg,https://www.amazon.com/dp/B0B2D77YB8
B0FKCX6Q3B,"HP 14"" Business Laptop Computer with Microsoft Office 365, 4-Core Intel Processor, 128GB SSD + 1TB Cloud Storage, 8GB RAM, Windows 11, SageNova Earphones, Pale Rose Gold",N/A,N/A,global_to_egp_images/B0FKCX6Q3B.jpg,https://www.amazon.com/dp/B0FKCX6Q3B
B0DNMF9V7V,"Lenovo V15 Laptop for Business, Home, Student | 15.6"" FHD Anti-Glare Display | Intel Core i7-1255U | 40GB RAM | 1TB SSD | HDMI | Type-C | RJ-45 | Numeric Keypad | Webcam | Wi-Fi 6 | Windows 11 Pro",N/A,N/A,global_to_egp_images/B0DNMF9V7V.jpg,https://www.amazon.com/dp/B0DNMF9V7V
B0G346HWSZ,"Laptop Computer Ultrabook, 16in Quad HD, 4.9GHz AMD Ryzen H 255, Radeon 780M Graphics, DDR5 5600MHz RAM, M.2 PCIe SSD, TF Card Slot, Portable Gaming/School/Business Notebook Computer【U6B】",30338.0,1594565.28,global_to_egp_images/B0G346HWSZ.jpg,https://www.amazon.com/dp/B0G346HWSZ
B0FJXTF6ND,"Lenovo V15 G4 Business Laptop, 15.6″ FHD Anti-Glare Display, Intel 8-Core i5-13420H (Beat i7-1355U), 16GB RAM, 256GB SSD, WiFi6, Bluetooth5.2, RJ-45, Windows 11 Home, with 5ave 6-in-1 Accessory Kit",N/A,N/A,global_to_egp_images/B0FJXTF6ND.jpg,https://www.amazon.com/dp/B0FJXTF6ND
B0G8K5H16P,"Dell 16 Laptop DC16251-16.0-inch 16:10 2K Touchscreen Display, Intel Core 7 150U Processor, 16GB DDR5 RAM, 1TB SSD, Intel Graphics, Windows 11 Home, 1 Year Basic Onsite Service, Cloud Blue",N/A,N/A,global_to_egp_images/B0G8K5H16P.jpg,https://www.amazon.com/dp/B0G8K5H16P
B0DZF4DWXQ,"HP Elitebook 840 G8 Business Laptop, 14"" 1920 x 1080 FHD Touch, Intel Core i5-1135G7 2.4GHz up to 4.2GHz, 16GB RAM, 256GB M.2 SSD, Windows 11 Pro (Renewed)",N/A,N/A,global_to_egp_images/B0DZF4DWXQ.jpg,https://www.amazon.com/dp/B0DZF4DWXQ
B0DT7QHR3F,"ASUS Vivobook 16 Laptop, 16” WUXGA 60Hz Display, Intel Core i5-13420H, Intel Iris Xᵉ Graphics, 16GB Memory, 512GB Storage, Windows 11, Cool Silver, F1605VA-ES56",27025.0,1420434.0,global_to_egp_images/B0DT7QHR3F.jpg,https://www.amazon.com/dp/B0DT7QHR3F
B09ZD8S6LL,"BANGE Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack",3837.0,201672.72,global_to_egp_images/B09ZD8S6LL.jpg,https://www.amazon.com/dp/B09ZD8S6LL
B0GD8XPKH3,"Lenovo V15 Business Laptop, Next-Gen Intel Quad-Core Processor, 15.6"" FHD 1080p IPS Display, 16GB DDR5 RAM, 256GB NVMe SSD, Wi-Fi 6, RJ-45, Dolby Audio, Windows 11 Pro, WOWPC USB, no Mouse",N/A,N/A,global_to_egp_images/B0GD8XPKH3.jpg,https://www.amazon.com/dp/B0GD8XPKH3
B0FJ7LTNRP,"HP 14"" Laptop 2025 Business Student Slim Computer, Lifetime MS Office, Copilot AI, Quad-Core Intel CPU, 16GB RAM, 628GB Storage (128GB UFS+500GB Ext), MarxsolAccessory, Wi-Fi 6, Win 11 Pro, Silver",N/A,N/A,global_to_egp_images/B0FJ7LTNRP.jpg,https://www.amazon.com/dp/B0FJ7LTNRP
B0GMT25D4D,"Lenovo ThinkPad E14 Gen 7 14"" FHD+ Display, AMD Ryzen 7 250 (Beats Core 7 240H), 16GB DDR5 RAM, 512GB SSD PCIe, Backlit KB, WiFi 6E + BT, RJ-45, FHD Webcam, Windows 11 Pro, AI Business Laptop - Black",48896.0,2569973.76,global_to_egp_images/B0GMT25D4D.jpg,https://www.amazon.com/dp/B0GMT25D4D
B0BV1H5BFD,"Dell Latitude 7490 Business Laptop, Intel Core i7-8650U, 16GB DDR4 RAM, 512GB SSD, 14"" HD (1366x768), CAM, HDMI, Windows 11 Pro (Renewed)",11304.0,594138.24,global_to_egp_images/B0BV1H5BFD.jpg,https://www.amazon.com/dp/B0BV1H5BFD
B0F143FZLT,"Lenovo ThinkPad E16 G2 Laptop Computer, 16"" FHD+, AMD 8-Core Ryzen 7 7735HS, 16GB DDR5 RAM, 1TB PCIe SSD, WiFi 6E, Windows 11 Pro",N/A,N/A,global_to_egp_images/B0F143FZLT.jpg,https://www.amazon.com/dp/B0F143FZLT
B0G3XBW3VW,"HP 15.6"" FHD Touchscreen Laptop, Intel Core i5-1334U(Up to 4.6GHz) 32GB RAM 1TB SSD, Windows 11 Pro WiFi6 Windows AI Microsoft Copilot w/GM Accessory for Business and College Students",N/A,N/A,global_to_egp_images/B0G3XBW3VW.jpg,https://www.amazon.com/dp/B0G3XBW3VW
B0F23LBVNZ,"Lenovo V14 Gen 4 Business Laptop (14"" FHD Anti-Glare, Intel 10-Core i7-13620H, 16GB RAM, 512GB SSD), Webcam with Privacy Shutter, Ethernet, Wi-Fi 6, HDMI, Bluetooth, Win 11 Home w/ Copilot, Black",33019.0,1735478.64,global_to_egp_images/B0F23LBVNZ.jpg,https://www.amazon.com/dp/B0F23LBVNZ
B0CWJB9ZC6,"ASUS Vivobook Go 15.6” Slim Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, Military Grade Durability, Fast Charging, Webcam Shield, E1504FA-AS54",22694.0,1192796.64,global_to_egp_images/B0CWJB9ZC6.jpg,https://www.amazon.com/dp/B0CWJB9ZC6
B0GKFPBQ8G,"HP 15.6"" FHD Touchscreen Laptop, 10-Core Intel i5-1334U(Beat i7-1255U Up to 4.6GHz) 16GB RAM 1TB SSD, Win 11 WiFi6 Bluetooth5.4 Webcam Laptops-Computer for Business Gaming w/GM Accessory",N/A,N/A,global_to_egp_images/B0GKFPBQ8G.jpg,https://www.amazon.com/dp/B0GKFPBQ8G
B0GWZR7Z3N,"Lenovo ThinkBook 16 Gen 8 Business AI PC Laptop Computer, 16"" FHD+, Intel 16-Core Ultra 7 255H, 32GB DDR5, 1TB PCIe SSD, WiFi 6E, Fingerprint Reader, Bluetooth 5.3, Windows 11 Professional",N/A,N/A,global_to_egp_images/B0GWZR7Z3N.jpg,https://www.amazon.com/dp/B0GWZR7Z3N
B0BSJ46KY9,"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",12731.0,669141.36,global_to_egp_images/B0BSJ46KY9.jpg,https://www.amazon.com/dp/B0BSJ46KY9
B0DWNLN3KP,"acer Aspire 14 AI Copilot+ PC | 14"" WUXGA Display | Intel Core Ultra 5 Processor 226V | NPU: Up to 40 Tops - GPU: Up to 53 Tops | Intel ARC 130V | 16GB LPDDR5X | 512GB SSD | Wi-Fi 6E | A14-52M-51S1",30811.0,1619426.16,global_to_egp_images/B0DWNLN3KP.jpg,https://www.amazon.com/dp/B0DWNLN3KP
B0D2W14QQT,"Samsung Galaxy Book4 2024 Business Laptop 15.6"" FHD IPS 10-Core Intel 7 150U 16GB LPDDR4 512GB SSD Intel Graphics Wi-Fi 6 Backlit Keyboard Fingerprint Win11 Home w/ONT 32GB USB",34176.0,1796290.56,global_to_egp_images/B0D2W14QQT.jpg,https://www.amazon.com/dp/B0D2W14QQT
B0FXM1QB1G,"NIMO 15.6'' FHD IPS Student-Laptop-Computer - 16GB RAM 512GB SSD, AMD Ryzen 5(Beat i5-1135G7, 4 Cores Up to 3.7GHz), 65W Type-C, 2 Years Warranty, Fingerprint, Backlit Keyboard, Wi-Fi 5, BT5.2",N/A,N/A,global_to_egp_images/B0FXM1QB1G.jpg,https://www.amazon.com/dp/B0FXM1QB1G
B0GWS3VKSM,"Lenovo ThinkPad E16 Business Laptop, 16"" WUXGA Display, Intel Core i5-1335U, 16GB RAM, 256GB SSD, HDMI, RJ-45, Wi-Fi 6, Backlit KB, Spill-Resistant Keyboard, Intel Iris Xe, Win 11 Pro, Black",N/A,N/A,global_to_egp_images/B0GWS3VKSM.jpg,https://www.amazon.com/dp/B0GWS3VKSM
B0GLF5DJ7H,"Dell Touchscreen Laptop, Intel 10-Core i5-1334U(Beat Ryzen 7 7730U, Up to 4.6GHz), 32GB RAM 1TB SSD, Win 11 Pro WiFi6 Bluetooth, 15.6"" FHD Laptops-Computer for Gaming Business",N/A,N/A,global_to_egp_images/B0GLF5DJ7H.jpg,https://www.amazon.com/dp/B0GLF5DJ7H
