name,price,rating,image_url,image_path,category,source
HOOVER Automatic Carpet Washer - Platinum Smart Wash Upright Vacuum Cleaner 3.5 L 1200 W CDCW-SWME Charcoal Blue/Grey/Black,"23,499",4.2222,https://f.nooncdn.com/p/pnsku/N45105065A/45/_/1748343689/e249e828-ff27-4d66-a2d6-300b7e475533.jpg?width=800,product_images/HOOVER Automatic Carpet Washer  Platinum Smart Was.jpg,home appliances,Noon
"Kenwood Air Fryer, 1800 Watt, 7 Liters, Silver - HFM80.000SS 7 L 1800 W HFM80.000SS sliver","7,499",4.5106,No Image,No Image,home appliances,Noon
"Stainless Steel Manual Press Garlic Press, Multifunctional Manual Press Garlic Press for Mincing Garlic, Chopping Peppers and Onions-457",360.36,1.03,No Image,No Image,home appliances,Noon
Swiss Pro+ Food Processor 13 Pieces - Kitchen Mixer - Vegetable Cutter Electric 600-800 W - Food Processor - Plastic - Red - 1.2 L,"1,999",5.01,No Image,No Image,home appliances,Noon
BLACK+DECKER Electric Kettle With Stainless Steel Body 1.7 L 2200 W JC450-B5 Silver/Black,"2,100",4.5480,No Image,No Image,home appliances,Noon
BOSCH Serie | 6 Bag Less Vacuum Cleaner 2.4 L 2200 W BGS412234 Black/Silver/Clear,"10,499",4.780,No Image,No Image,home appliances,Noon
Toshiba Water Dispenser With Cabinet – Compressor Cooling - Stainless Steel Cold Tank - Over Heat Protection - Child Safety Lock - RWF-W2467TEG(K) Black and Silver,"9,699",0.0,No Image,No Image,home appliances,Noon
"BLACK+DECKER Portable Garment Steamer, Universal Bottle Adapter, Fine Mist Spray, Ergonomic Compact Design, Effective on All Fabrics, 0.26 L 1500 W HST1500-B5 Dark Purple","2,749",4.02,No Image,No Image,home appliances,Noon
"KENWOOD Stand Mixer Kitchen Machine Chef XL  With  Stainless Steel Bowl, K-Beater, Whisk, Dough Hook, Blender 6.7 L 1200 W KVL4110S Steel","20,999",4.626,No Image,No Image,home appliances,Noon
"Beko 2 Door - 557L - Stainless - Nofrost -ProSmart Inverter, HF Digital - B3RDNE590ZXB Prinpia Brushed Silver","51,740",5.02,No Image,No Image,home appliances,Noon
Olympic Electric Mechanical Water Heater Hero 50 liters,"4,038",4.440,No Image,No Image,home appliances,Noon
BRAUN Multiquick 5 Hand Blender - MQ5235 White,"3,899",4.3102,No Image,No Image,home appliances,Noon
"De'Longhi Magnifica Start Fully Automatic Coffee Machine,The Freshest Coffee ,Sift Touch Control Panel,Traditional Milk Frother ,One Touch Recipes 1.8 L 1450 W ECAM220.22.GB Black/Grey","27,499",4.723,No Image,No Image,home appliances,Noon
"LG Neochef Microwave Oven With Grill, 42 L 1200 W MH8265DIS Black","13,499",4.7178,No Image,No Image,home appliances,Noon
"KENWOOD Health Grill, 3 Adjustable Grill Positions 2000 W HGM31.000SI Silver","3,900",4.3198,No Image,No Image,home appliances,Noon
"Philips Contact Grill 5000 Series - 2200W, Open 180° Flat Grilling, Adjustable Height, Removable Plates, High Power, Handle Lock 2200 W HD6301/90 Silver/Black","14,999",4.846,No Image,No Image,home appliances,Noon
smeg 50's Retro Style Aesthetic Electric Kettle - 1.7 L 2500.0 W KLF03CRAU / KLF03CRUK Cream,"14,300",4.115,No Image,No Image,home appliances,Noon
Samsung Vacuum Cleaner Bagless 1.3 L 1800.0 W VCC4540S36/EGT Black / Blue,"5,999",4.5126,No Image,No Image,home appliances,Noon
Philips Essential XL Air Fryer 6.2 L 2000 W HD9270/90/91/70 Black,"8,280",4.61,No Image,No Image,home appliances,Noon
Philips Electric Kettle 3000 series 1.7 L 1.7 L 2200 W HD9350/92 grey/silver HD9350/92,"2,800",4.6866,No Image,No Image,home appliances,Noon
"Philips Plastic Kettle 3000 Series - With Pilot Light, Spring Opening, 1.7 L 2200 W HD9318/01 White","2,003",4.7969,No Image,No Image,home appliances,Noon
Philips Airfryer 3000 Series 4.1 L 1500 W HD9243/90 Black,"4,610",4.37,No Image,No Image,home appliances,Noon
