name,price,rating,image_url,image_path,source
DELL (Upgraded Version) Latitude 7310 With 13.3 Inch HD 10Th Gen Intel Core i7 10610U 16GB RAM 512GB SSD 8MB UHD Graphics/DOS (Without Windows) English/Arabic BLack English/Arabic BLack,"29,950",0.0,https://f.nooncdn.com/p/v1649227946/N50941071A_1.jpg?width=800,product_images/DELL Upgraded Version Latitude 7310 With 133 Inch .jpg,Noon
"DELL Renewed Dell Latitude 5300 – i5-8365U, 8GB RAM, 256GB SSD, 13.3"" FHD Touch black","10,600",0.0,https://f.nooncdn.com/p/pnsku/N70249240V/45/_/1761037013/657c34de-0ee9-4420-84db-8a5cb509a30e.jpg?width=800,product_images/DELL Renewed Dell Latitude 5300  i58365U 8GB RAM 2.jpg,Noon
"ASUS VivoBook Laptop With 15.6-Inch Display, Core i5-1335U Processor/8GB RAM/512GB SSD/Windows 11/Intel UHD Graphics/ English/Arabic Quiet Blue","38,025",4.3140,https://f.nooncdn.com/p/pnsku/N53428824A/45/_/1764242068/0eea03c0-c9bf-437b-aaa9-8fa093e6bad5.jpg?width=800,product_images/ASUS VivoBook Laptop With 156Inch Display Core i51.jpg,Noon
"HP (Upgraded Version) Pavilion 15 Laptop 15.6-Inch FHD Display, Core i5-1335U Processor/16GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 English Silver","74,250",0.0,https://f.nooncdn.com/p/pnsku/N70061061V/45/_/1712577932/3ded6e7f-7189-423d-9733-868bfea92d87.jpg?width=800,product_images/HP Upgraded Version Pavilion 15 Laptop 156Inch FHD.jpg,Noon
HP VICTUS 16- R1051 Laptop with 16 inch FHD / Intel Core i7-14700HX / 16 GB RAM / 1 TB SSD / NVIDIA GeForce RTX 4070 8 GB / DOS / English Mica Silver,"88,052",0.0,https://f.nooncdn.com/p/pnsku/N70250880V/45/_/1761227740/014855d5-d21f-41aa-ae24-22bbcb01a83f.jpg?width=800,product_images/HP VICTUS 16 R1051 Laptop with 16 inch FHD  Intel .jpg,Noon
"HP (Upgraded Version) Newest Laptop With 15.6-Inch Display, Core i5-1135G7 Processor/16GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 10 S English Silver","61,750",0.0,https://f.nooncdn.com/p/v1688709810/N53418509A_1.jpg?width=800,product_images/HP Upgraded Version Newest Laptop With 156Inch Dis.jpg,Noon
"DELL Latitude 7390 Laptop With 13.3-Inch Full HD Display, Core i7 Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 10 620 Graphics/Windows 10 International Version Black","24,900",0.0,https://f.nooncdn.com/p/v1649173015/N38491783A_1.jpg?width=800,product_images/DELL Latitude 7390 Laptop With 133Inch Full HD Dis.jpg,Noon
"HP (Upgraded Version) EliteBook 640 G10 Notebook With 14-Inch FHD IPS Display,Core i7 1335U Processor/16GB RAM/1TB SSD/Free DOS/8A602EA#ABV English/Arabic Pike Silver Aluminium English/Arabic Pike Silver Aluminium","118,000",0.0,https://f.nooncdn.com/p/pnsku/N70105901V/45/_/1725360766/e17db7bc-3682-4747-bbf9-d3602d0f404d.jpg?width=800,product_images/HP Upgraded Version EliteBook 640 G10 Notebook Wit.jpg,Noon
"DELL (Upgraded Version) Latitude 9000 9450 Touchscreen Laptop With 14-Inch Full HD Display, Core Ultra 7 165U Processor/32GB RAM/1TB SSD/Intel Arc Graphics/Windows 11 Pro English Silver English Silver","241,000",0.0,https://f.nooncdn.com/p/pnsku/N70176526V/45/_/1747378064/7caab85b-199b-4ea0-82ad-18bb9e868989.jpg?width=800,product_images/DELL Upgraded Version Latitude 9000 9450 Touchscre.jpg,Noon
"Lenovo T490s ThinkPad With 14-Inch Multi-Touch Screen Display, Core i7 Processor/ 8GB RAM/512GB SSD/Windows/Intel HD Graphic Card English/Arabic Black","29,498",5.02,https://f.nooncdn.com/p/v1615992644/N45405368A_1.jpg?width=800,product_images/Lenovo T490s ThinkPad With 14Inch MultiTouch Scree.jpg,Noon
